age,education,job,marital,salary,balance,loan,response
50.0,primary,blue-collar,married,20000,0,no,no
35.0,secondary,blue-collar,married,20000,0,no,no
44.0,secondary,services,married,70000,1357,yes,no
53.0,unknown,entrepreneur,married,120000,19,no,no
35.0,primary,retired,single,55000,434,no,no
60.0,secondary,admin.,divorced,50000,92,no,no
53.0,secondary,admin.,divorced,50000,1151,no,no
48.0,secondary,unemployed,married,8000,41,no,no
34.0,secondary,technician,married,60000,51,no,no
54.0,secondary,services,married,70000,214,no,no
51.0,secondary,management,married,100000,1161,no,no
31.0,tertiary,services,married,70000,37,no,no
35.0,secondary,technician,divorced,60000,787,no,no
35.0,secondary,services,married,70000,59,no,no
38.0,secondary,technician,married,60000,253,no,no
36.0,tertiary,admin.,married,50000,211,no,no
58.0,primary,retired,married,55000,235,no,no
40.0,unknown,services,divorced,70000,4384,no,no
54.0,secondary,management,married,100000,4080,no,no
34.0,secondary,blue-collar,single,20000,53,yes,no
31.0,tertiary,management,single,100000,0,no,no
51.0,secondary,retired,married,55000,2127,no,no
33.0,tertiary,management,married,100000,377,no,no
55.0,tertiary,management,married,100000,73,no,no
42.0,secondary,admin.,married,50000,445,no,no
34.0,secondary,blue-collar,married,20000,243,no,no
33.0,secondary,blue-collar,single,20000,307,no,no
38.0,secondary,services,married,70000,155,no,no
50.0,tertiary,technician,divorced,60000,173,yes,no
43.0,tertiary,management,married,100000,400,no,no
61.0,primary,blue-collar,divorced,20000,1428,no,no
47.0,secondary,admin.,married,50000,219,no,no
48.0,tertiary,self-employed,married,60000,7,no,no
44.0,secondary,blue-collar,married,20000,575,no,no
35.0,unknown,student,single,4000,298,no,no
35.0,secondary,services,married,70000,0,no,no
50.0,secondary,services,married,70000,5699,no,no
41.0,tertiary,management,married,100000,176,yes,no
41.0,tertiary,management,married,100000,517,no,no
39.0,unknown,services,single,70000,257,no,no
42.0,secondary,retired,married,55000,56,no,no
38.0,secondary,blue-collar,married,20000,-390,no,no
53.0,secondary,retired,married,55000,330,no,no
59.0,primary,housemaid,divorced,16000,195,no,no
36.0,secondary,services,married,70000,301,no,no
54.0,primary,blue-collar,married,20000,-41,no,no
40.0,tertiary,technician,married,60000,483,no,no
47.0,unknown,unknown,married,0,28,no,no
53.0,unknown,unemployed,married,8000,13,no,no
46.0,primary,housemaid,married,16000,965,no,no
39.0,tertiary,management,married,100000,378,yes,no
40.0,secondary,unemployed,married,8000,219,no,no
28.0,primary,blue-collar,married,20000,324,no,no
35.0,secondary,entrepreneur,divorced,120000,-69,no,no
55.0,secondary,retired,married,55000,0,yes,no
43.0,unknown,technician,divorced,60000,205,no,no
48.0,primary,blue-collar,married,20000,278,no,no
58.0,unknown,management,married,100000,1065,no,no
33.0,tertiary,management,single,100000,34,no,no
36.0,unknown,blue-collar,married,20000,1033,no,no
53.0,secondary,services,divorced,70000,1467,no,no
47.0,primary,blue-collar,married,20000,-12,no,no
31.0,secondary,services,married,70000,388,no,no
57.0,secondary,entrepreneur,married,120000,294,no,no
53.0,unknown,blue-collar,married,20000,1827,no,no
55.0,primary,blue-collar,married,20000,627,no,no
45.0,primary,blue-collar,married,20000,25,no,no
53.0,secondary,admin.,divorced,50000,315,no,no
37.0,primary,blue-collar,married,20000,0,no,no
44.0,secondary,admin.,divorced,50000,66,no,no
49.0,primary,blue-collar,divorced,20000,-9,yes,no
46.0,secondary,technician,married,60000,349,yes,no
43.0,unknown,entrepreneur,married,120000,100,no,no
38.0,secondary,admin.,married,50000,0,no,no
43.0,secondary,technician,married,60000,434,no,no
49.0,tertiary,management,married,100000,3237,no,no
42.0,unknown,management,married,100000,275,no,no
22.0,secondary,blue-collar,single,20000,0,no,no
40.0,tertiary,management,married,100000,207,no,no
39.0,secondary,blue-collar,married,20000,483,no,no
51.0,secondary,services,married,70000,2248,no,no
49.0,secondary,admin.,married,50000,428,no,no
53.0,secondary,blue-collar,married,20000,0,yes,no
34.0,secondary,services,single,70000,0,no,no
33.0,secondary,technician,divorced,60000,140,no,no
50.0,tertiary,management,single,100000,297,no,no
39.0,primary,blue-collar,married,20000,279,no,no
59.0,secondary,entrepreneur,divorced,120000,901,no,no
30.0,secondary,technician,single,60000,2573,no,no
36.0,secondary,services,married,70000,143,yes,no
40.0,secondary,blue-collar,married,20000,475,no,no
53.0,secondary,blue-collar,married,20000,70,no,no
34.0,tertiary,management,single,100000,318,no,no
37.0,secondary,technician,married,60000,275,no,no
42.0,tertiary,management,divorced,100000,742,no,no
41.0,primary,entrepreneur,married,120000,236,no,no
30.0,tertiary,student,single,4000,25,no,no
37.0,tertiary,management,single,100000,600,no,no
39.0,secondary,admin.,divorced,50000,-349,no,no
41.0,primary,blue-collar,married,20000,183,yes,no
40.0,primary,blue-collar,married,20000,0,no,no
42.0,tertiary,management,single,100000,0,yes,yes
40.0,primary,blue-collar,divorced,20000,0,no,no
57.0,secondary,technician,married,60000,1078,no,no
56.0,secondary,entrepreneur,divorced,120000,155,no,no
37.0,secondary,admin.,married,50000,190,no,no
59.0,secondary,retired,married,55000,319,no,no
39.0,secondary,services,divorced,70000,-185,no,no
49.0,secondary,services,married,70000,47,no,no
38.0,secondary,services,single,70000,570,no,no
36.0,tertiary,self-employed,married,60000,19,no,no
50.0,primary,blue-collar,married,20000,61,no,no
41.0,secondary,admin.,married,50000,-62,yes,no
54.0,tertiary,technician,married,60000,258,no,no
58.0,primary,blue-collar,married,20000,76,no,no
30.0,secondary,blue-collar,single,20000,0,no,no
33.0,secondary,admin.,single,50000,352,no,no
47.0,secondary,admin.,married,50000,368,no,no
50.0,tertiary,technician,single,60000,339,no,no
32.0,secondary,blue-collar,married,20000,1331,no,no
40.0,secondary,self-employed,married,60000,672,no,no
37.0,tertiary,management,married,100000,58,no,no
54.0,unknown,technician,single,60000,447,no,no
24.0,secondary,student,single,4000,423,no,no
54.0,tertiary,management,married,100000,0,no,no
34.0,secondary,technician,married,60000,19,no,no
56.0,primary,technician,divorced,60000,13,no,no
31.0,secondary,blue-collar,single,20000,3,no,no
24.0,secondary,student,single,4000,82,no,no
42.0,primary,blue-collar,divorced,20000,28,no,no
57.0,secondary,technician,married,60000,792,no,no
42.0,unknown,blue-collar,married,20000,408,no,no
51.0,secondary,admin.,married,50000,531,no,no
57.0,secondary,retired,married,55000,211,no,no
36.0,secondary,services,single,70000,62,no,no
53.0,unknown,services,married,70000,257,no,no
50.0,secondary,technician,married,60000,1234,no,no
54.0,tertiary,management,married,100000,313,no,no
55.0,secondary,blue-collar,married,20000,89,no,no
44.0,secondary,blue-collar,married,20000,129,yes,no
43.0,unknown,management,married,100000,0,no,no
56.0,secondary,admin.,married,50000,353,no,no
54.0,unknown,technician,married,60000,851,no,no
55.0,primary,services,divorced,70000,96,yes,no
37.0,secondary,services,divorced,70000,398,yes,no
33.0,tertiary,admin.,single,50000,193,no,no
46.0,secondary,admin.,married,50000,-358,no,no
36.0,secondary,blue-collar,married,20000,539,yes,no
51.0,secondary,technician,single,60000,0,no,no
40.0,primary,retired,single,55000,0,no,no
42.0,secondary,blue-collar,married,20000,490,no,no
51.0,secondary,blue-collar,married,20000,0,no,no
49.0,unknown,blue-collar,married,20000,403,no,no
48.0,secondary,management,married,100000,161,no,no
32.0,tertiary,technician,divorced,60000,2558,no,no
31.0,secondary,admin.,single,50000,98,no,no
55.0,tertiary,management,single,100000,115,no,no
40.0,secondary,blue-collar,single,20000,436,no,no
47.0,tertiary,technician,married,60000,831,no,no
57.0,unknown,technician,married,60000,206,no,no
41.0,secondary,blue-collar,married,20000,290,no,no
48.0,secondary,blue-collar,married,20000,1,no,no
42.0,unknown,blue-collar,married,20000,57,no,no
30.0,secondary,blue-collar,single,20000,-457,no,no
58.0,tertiary,management,single,100000,1387,no,no
45.0,tertiary,management,divorced,100000,24598,no,no
49.0,secondary,blue-collar,married,20000,30,no,no
42.0,secondary,admin.,single,50000,1022,no,no
53.0,secondary,technician,married,60000,56,yes,no
51.0,secondary,admin.,single,50000,-2,no,no
32.0,secondary,services,single,70000,121,no,no
41.0,secondary,blue-collar,single,20000,842,no,no
43.0,secondary,management,divorced,100000,693,no,no
40.0,secondary,blue-collar,divorced,20000,-333,no,no
50.0,primary,blue-collar,married,20000,1533,no,no
34.0,tertiary,management,married,100000,46,no,no
53.0,unknown,services,married,70000,18,no,no
45.0,secondary,technician,married,60000,44,no,no
39.0,primary,blue-collar,married,20000,-100,no,no
44.0,tertiary,services,married,70000,510,no,no
55.0,tertiary,management,married,100000,685,no,no
46.0,tertiary,management,single,100000,187,no,no
45.0,secondary,blue-collar,married,20000,66,no,no
34.0,secondary,admin.,married,50000,560,no,no
36.0,secondary,blue-collar,married,20000,0,no,no
59.0,unknown,unknown,divorced,0,27,no,no
31.0,secondary,admin.,single,50000,12,no,no
44.0,secondary,blue-collar,single,20000,34,no,no
33.0,tertiary,entrepreneur,single,120000,1068,no,no
40.0,secondary,blue-collar,married,20000,211,no,no
46.0,tertiary,admin.,single,50000,377,no,no
48.0,tertiary,management,married,100000,263,no,no
42.0,secondary,services,married,70000,1263,no,no
27.0,secondary,services,married,70000,8,no,no
48.0,secondary,admin.,married,50000,126,yes,no
59.0,secondary,admin.,married,50000,230,no,no
46.0,tertiary,technician,married,60000,841,no,no
38.0,secondary,admin.,divorced,50000,308,no,no
43.0,tertiary,management,divorced,100000,1,no,no
38.0,tertiary,admin.,divorced,50000,86,no,no
23.0,secondary,student,single,4000,157,no,no
34.0,secondary,services,married,70000,22,no,no
38.0,secondary,admin.,married,50000,46,yes,no
37.0,secondary,blue-collar,married,20000,1293,no,no
25.0,secondary,admin.,single,50000,122,no,no
48.0,unknown,blue-collar,married,20000,131,no,no
49.0,secondary,blue-collar,single,20000,143,no,no
38.0,secondary,admin.,single,50000,393,no,no
43.0,primary,blue-collar,married,20000,98,no,no
33.0,tertiary,management,married,100000,0,no,no
55.0,secondary,blue-collar,married,20000,224,no,no
38.0,secondary,blue-collar,married,20000,757,no,no
49.0,secondary,services,married,70000,245,yes,no
40.0,secondary,management,married,100000,8486,no,no
43.0,unknown,admin.,married,50000,350,no,no
38.0,secondary,blue-collar,married,20000,20,no,no
58.0,secondary,services,married,70000,1667,yes,no
57.0,unknown,technician,married,60000,345,no,no
32.0,secondary,unemployed,married,8000,10,no,no
56.0,tertiary,management,married,100000,830,yes,yes
58.0,unknown,blue-collar,divorced,20000,29,no,no
60.0,secondary,retired,divorced,55000,545,no,yes
37.0,tertiary,technician,married,60000,8730,no,no
46.0,tertiary,technician,divorced,60000,477,no,no
27.0,secondary,admin.,married,50000,4,no,no
43.0,secondary,blue-collar,married,20000,1205,no,no
32.0,secondary,technician,single,60000,0,yes,no
40.0,secondary,admin.,single,50000,263,no,no
38.0,secondary,admin.,married,50000,1,no,no
34.0,secondary,blue-collar,married,20000,283,yes,no
47.0,primary,blue-collar,married,20000,206,no,no
42.0,primary,housemaid,married,16000,17,no,no
48.0,secondary,technician,married,60000,141,yes,no
29.0,tertiary,self-employed,single,60000,16,no,no
50.0,secondary,services,married,70000,206,no,no
52.0,unknown,technician,married,60000,7,no,no
50.0,tertiary,management,married,100000,0,no,no
58.0,tertiary,retired,married,55000,0,no,no
46.0,primary,blue-collar,divorced,20000,1927,no,no
38.0,secondary,technician,married,60000,284,no,no
46.0,secondary,blue-collar,married,20000,1660,no,no
32.0,secondary,services,single,70000,406,no,no
51.0,primary,blue-collar,married,20000,230,no,no
39.0,secondary,admin.,single,50000,-25,no,no
48.0,secondary,admin.,married,50000,182,no,no
36.0,tertiary,entrepreneur,married,120000,1169,no,no
34.0,secondary,admin.,divorced,50000,67,no,no
40.0,secondary,technician,married,60000,77,no,no
43.0,secondary,unemployed,married,8000,0,no,no
52.0,primary,blue-collar,divorced,20000,55,yes,no
33.0,secondary,technician,married,60000,72,no,no
49.0,tertiary,management,single,100000,163,no,no
32.0,tertiary,management,single,100000,151,no,no
39.0,secondary,admin.,single,50000,113,no,no
40.0,secondary,blue-collar,married,20000,0,no,no
38.0,tertiary,technician,single,60000,9,no,no
43.0,secondary,management,married,100000,375,no,no
39.0,secondary,services,married,70000,1142,no,no
54.0,primary,blue-collar,married,20000,2102,no,no
38.0,tertiary,technician,single,60000,4325,no,no
40.0,secondary,blue-collar,married,20000,217,no,no
55.0,secondary,admin.,married,50000,131,no,no
42.0,tertiary,management,married,100000,1680,no,no
39.0,secondary,blue-collar,married,20000,0,no,no
40.0,primary,blue-collar,married,20000,46,no,no
32.0,secondary,blue-collar,married,20000,320,no,no
55.0,secondary,admin.,married,50000,183,no,no
45.0,secondary,blue-collar,married,20000,39,no,no
35.0,tertiary,management,single,100000,560,no,no
58.0,secondary,technician,divorced,60000,469,no,no
35.0,secondary,admin.,married,50000,530,no,no
49.0,primary,services,married,70000,61,no,no
34.0,tertiary,technician,single,60000,242,no,no
36.0,secondary,blue-collar,married,20000,139,no,no
24.0,secondary,self-employed,single,60000,0,no,no
34.0,secondary,technician,married,60000,367,no,no
51.0,secondary,admin.,divorced,50000,228,no,no
39.0,unknown,technician,single,60000,45248,no,yes
50.0,unknown,self-employed,married,60000,-84,no,no
32.0,secondary,services,single,70000,310,no,no
42.0,unknown,blue-collar,married,20000,132,no,no
50.0,secondary,technician,married,60000,797,no,no
40.0,secondary,services,married,70000,71,no,no
46.0,unknown,management,divorced,100000,2,no,no
37.0,tertiary,management,married,100000,231,yes,no
34.0,secondary,blue-collar,married,20000,270,yes,no
44.0,secondary,blue-collar,married,20000,274,yes,no
40.0,secondary,admin.,single,50000,-109,yes,no
37.0,secondary,technician,married,60000,1,no,yes
33.0,secondary,blue-collar,single,20000,-60,no,no
35.0,secondary,blue-collar,married,20000,89,no,no
58.0,secondary,blue-collar,divorced,20000,-11,no,no
39.0,primary,blue-collar,married,20000,0,no,no
43.0,secondary,blue-collar,married,20000,-509,no,no
39.0,primary,unemployed,married,8000,408,no,no
36.0,primary,services,single,70000,58,no,no
57.0,secondary,retired,single,55000,1640,yes,no
36.0,secondary,admin.,single,50000,20,no,no
50.0,primary,blue-collar,married,20000,71,no,no
55.0,secondary,blue-collar,married,20000,52,no,no
44.0,tertiary,self-employed,married,60000,292,no,no
44.0,secondary,services,divorced,70000,424,no,no
39.0,primary,housemaid,single,16000,109,no,no
46.0,unknown,blue-collar,married,20000,1044,no,no
39.0,secondary,blue-collar,married,20000,983,no,no
34.0,secondary,admin.,married,50000,869,no,yes
40.0,primary,blue-collar,married,20000,668,no,no
50.0,tertiary,management,married,100000,964,no,no
31.0,secondary,management,single,100000,301,no,no
37.0,secondary,admin.,single,50000,140,no,no
39.0,secondary,management,single,100000,1877,no,no
51.0,primary,blue-collar,married,20000,1127,no,no
41.0,secondary,technician,married,60000,871,no,no
41.0,secondary,technician,married,60000,767,yes,no
43.0,secondary,blue-collar,married,20000,0,no,no
30.0,secondary,services,single,70000,209,no,no
54.0,primary,management,divorced,100000,0,no,no
43.0,secondary,blue-collar,divorced,20000,110,yes,no
59.0,tertiary,management,divorced,100000,-76,yes,no
47.0,unknown,technician,married,60000,178,no,no
40.0,primary,blue-collar,married,20000,-66,no,no
32.0,secondary,technician,married,60000,0,no,no
29.0,secondary,blue-collar,married,20000,1,no,no
36.0,secondary,blue-collar,married,20000,0,no,no
55.0,tertiary,unemployed,married,8000,5345,no,no
30.0,secondary,blue-collar,divorced,20000,-209,no,no
39.0,secondary,admin.,single,50000,0,no,no
39.0,secondary,blue-collar,divorced,20000,42,no,no
50.0,secondary,blue-collar,divorced,20000,41,no,no
44.0,secondary,blue-collar,married,20000,-99,no,no
37.0,secondary,technician,single,60000,17,no,no
46.0,primary,admin.,married,50000,276,yes,no
32.0,unknown,technician,single,60000,-170,no,no
37.0,tertiary,management,single,100000,230,yes,no
29.0,secondary,blue-collar,married,20000,9,no,no
41.0,secondary,blue-collar,married,20000,946,no,no
45.0,primary,blue-collar,married,20000,1297,no,no
57.0,secondary,retired,divorced,55000,-331,no,no
48.0,secondary,blue-collar,single,20000,44,no,no
60.0,secondary,retired,married,55000,15,no,no
26.0,secondary,admin.,single,50000,712,no,no
58.0,secondary,retired,married,55000,5435,no,no
34.0,secondary,admin.,married,50000,507,no,no
55.0,secondary,unemployed,divorced,8000,387,no,yes
41.0,primary,blue-collar,married,20000,0,yes,no
50.0,secondary,management,divorced,100000,1716,no,no
49.0,secondary,entrepreneur,married,120000,167,yes,no
44.0,unknown,admin.,married,50000,40,yes,no
44.0,primary,blue-collar,married,20000,148,no,no
31.0,secondary,technician,married,60000,17,yes,no
34.0,tertiary,blue-collar,single,20000,1011,no,no
46.0,unknown,management,single,100000,1527,no,no
42.0,tertiary,management,married,100000,744,no,no
52.0,secondary,admin.,married,50000,484,no,no
29.0,tertiary,management,single,100000,0,no,no
53.0,primary,retired,married,55000,136,no,no
43.0,secondary,blue-collar,married,20000,1335,no,no
38.0,secondary,management,married,100000,517,no,no
46.0,tertiary,management,married,100000,459,no,no
48.0,unknown,management,divorced,100000,549,no,no
30.0,secondary,admin.,divorced,50000,83,yes,no
44.0,primary,blue-collar,married,20000,213,no,no
31.0,primary,housemaid,married,16000,203,no,no
42.0,secondary,services,single,70000,518,no,no
40.0,tertiary,management,single,100000,3877,no,no
52.0,secondary,admin.,married,50000,1236,no,no
45.0,secondary,blue-collar,divorced,20000,756,no,no
48.0,secondary,blue-collar,married,20000,157,no,no
45.0,primary,blue-collar,married,20000,-66,no,no
34.0,unknown,blue-collar,married,20000,245,no,no
34.0,primary,blue-collar,married,20000,-144,no,no
46.0,secondary,blue-collar,married,20000,71,no,no
49.0,secondary,services,divorced,70000,505,no,no
50.0,primary,technician,married,60000,249,no,no
34.0,secondary,admin.,single,50000,0,no,no
40.0,secondary,unemployed,single,8000,11,no,no
36.0,secondary,admin.,married,50000,639,no,no
59.0,unknown,blue-collar,divorced,20000,124,no,no
45.0,secondary,blue-collar,married,20000,82,no,no
36.0,tertiary,self-employed,married,60000,107,no,no
56.0,secondary,services,married,70000,473,no,no
42.0,secondary,services,divorced,70000,372,yes,no
30.0,secondary,admin.,married,50000,46,no,no
30.0,tertiary,student,single,4000,34,no,no
47.0,unknown,self-employed,married,60000,935,no,no
33.0,secondary,blue-collar,married,20000,-10,no,no
36.0,secondary,admin.,married,50000,-106,no,no
39.0,primary,services,divorced,70000,471,no,no
56.0,secondary,admin.,divorced,50000,778,no,no
39.0,unknown,blue-collar,divorced,20000,170,no,no
42.0,secondary,technician,married,60000,315,no,no
52.0,secondary,blue-collar,married,20000,3165,no,no
36.0,secondary,admin.,divorced,50000,131,no,no
35.0,secondary,entrepreneur,married,120000,204,no,no
47.0,secondary,technician,married,60000,83,no,no
59.0,secondary,services,divorced,70000,0,yes,no
57.0,primary,blue-collar,married,20000,5431,yes,no
38.0,unknown,management,married,100000,1759,no,no
46.0,secondary,unemployed,married,8000,-125,no,no
34.0,secondary,blue-collar,married,20000,0,no,no
28.0,secondary,services,single,70000,5090,no,yes
38.0,unknown,technician,married,60000,573,no,no
56.0,secondary,blue-collar,married,20000,1602,no,no
41.0,primary,blue-collar,single,20000,-137,yes,no
52.0,unknown,technician,married,60000,0,no,no
54.0,secondary,services,married,70000,193,no,no
61.0,secondary,retired,married,55000,195,yes,no
53.0,secondary,entrepreneur,married,120000,288,no,no
47.0,secondary,technician,married,60000,19,no,no
53.0,primary,blue-collar,married,20000,25,no,no
46.0,secondary,services,married,70000,216,no,no
39.0,primary,blue-collar,divorced,20000,190,yes,no
56.0,secondary,technician,divorced,60000,99,no,no
55.0,primary,services,divorced,70000,2298,no,no
44.0,tertiary,management,married,100000,17,no,no
37.0,primary,technician,married,60000,0,no,no
35.0,primary,blue-collar,married,20000,0,no,no
55.0,secondary,blue-collar,married,20000,840,no,no
37.0,secondary,services,married,70000,358,no,no
30.0,secondary,technician,single,60000,0,no,no
37.0,primary,blue-collar,married,20000,-325,yes,no
36.0,secondary,technician,single,60000,-15,no,no
